==== HighLogs Started ====
[2025-08-27 20:38:07.687359] omar_96966 used /help [used id: 1279500219154956419, guild id: 1400861301357678613, command from cog: cogs.general]
[2025-08-27 20:45:54 UTC] omar_96966 used /own-guilds leave [used id: 1279500219154956419, guild id: 1400861301357678613, command from cog: cogs.highAdmins]
[2025-08-27 20:51:18 UTC] omar_96966 used sync [used id: 1279500219154956419, guild id: 1400861301357678613, command from cog: OwnerAutoRoles]
[2025-08-27 21:04:32 UTC] omar_96966 used sync [used id: 1279500219154956419, guild id: 1400861301357678613, command from cog: OwnerAutoRoles]
[2025-08-27 21:05:31 UTC] omar_96966 used /sync [used id: 1279500219154956419, guild id: 1400861301357678613, command from cog: cogs.admin]
[2025-08-27 21:15:46 UTC] omar_96966 used /ticket-setup [used id: 1279500219154956419, guild id: 1400861301357678613, command from cog: cogs.tickets]
[2025-08-27 21:40:07 UTC] omar_96966 used /reload [used id: 1279500219154956419, guild id: 1400861301357678613, command from cog: cogs.admin]
[2025-08-27 21:40:35 UTC] omar_96966 used sync [used id: 1279500219154956419, guild id: 1400861301357678613, command from cog: OwnerAutoRoles]
[2025-08-27 21:45:59 UTC] omar_96966 used /reload [used id: 1279500219154956419, guild id: 1400861301357678613, command from cog: cogs.admin]
[2025-08-27 21:46:02 UTC] omar_96966 used /reload [used id: 1279500219154956419, guild id: 1400861301357678613, command from cog: cogs.admin]
[2025-08-27 21:46:10 UTC] omar_96966 used sync [used id: 1279500219154956419, guild id: 1400861301357678613, command from cog: OwnerAutoRoles]
[2025-08-27 21:46:21 UTC] omar_96966 used /ticket-setup [used id: 1279500219154956419, guild id: 1400861301357678613, command from cog: cogs.tickets]
[2025-08-27 21:48:51 UTC] omar_96966 used /ticket-config customize-text [used id: 1279500219154956419, guild id: 1400861301357678613, command from cog: cogs.tickets]
[2025-08-27 21:49:02 UTC] omar_96966 used /ticket-setup [used id: 1279500219154956419, guild id: 1400861301357678613, command from cog: cogs.tickets]
[2025-08-27 21:54:12 UTC] omar_96966 used /reload [used id: 1279500219154956419, guild id: 1400861301357678613, command from cog: cogs.admin]
[2025-08-27 21:54:37 UTC] omar_96966 used /reload [used id: 1279500219154956419, guild id: 1400861301357678613, command from cog: cogs.admin]
[2025-08-27 21:54:45 UTC] omar_96966 used /reload [used id: 1279500219154956419, guild id: 1400861301357678613, command from cog: cogs.admin]
[2025-08-27 22:02:42 UTC] omar_96966 used /reload [used id: 1279500219154956419, guild id: 1400861301357678613, command from cog: cogs.admin]
[2025-08-27 22:04:34 UTC] omar_96966 used /reload [used id: 1279500219154956419, guild id: 1400861301357678613, command from cog: cogs.admin]
[2025-08-28 10:19:51 UTC] omar_96966 used sync [used id: 1279500219154956419, guild id: 1400861301357678613, command from cog: OwnerAutoRoles]
[2025-08-28 10:22:49 UTC] omar_96966 used sync [used id: 1279500219154956419, guild id: 1400861301357678613, command from cog: OwnerAutoRoles]
[2025-08-28 11:56:49 UTC] omar_96966 used /help [used id: 1279500219154956419, guild id: DM, command from cog: cogs.general]
[2025-08-28 11:57:44 UTC] omar_96966 used /avatar [used id: 1279500219154956419, guild id: DM, command from cog: cogs.general]
